epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9596,1.9492,12.436,1.55252,0.0975,0.19444,0.05175,0.02588,2.04345,9.26677,1.49991,0.0001,0.0001,0.0001
2,14.8911,1.9004,11.0629,1.52518,0.55363,0.30556,0.30157,0.16064,1.88735,3.86841,1.56092,0.00019822,0.00019822,0.00019822
3,17.8726,1.74224,6.35546,1.43062,0.97985,0.30556,0.42919,0.24328,1.78704,3.19113,1.50144,0.00027268,0.00027268,0.00027268
4,20.8587,1.61191,4.0572,1.32819,0.1211,0.30556,0.0696,0.03571,1.77029,3.75716,1.49318,0.00032338,0.00032338,0.00032338
5,23.5484,1.64707,3.59813,1.32878,0.15188,0.22222,0.1154,0.06764,1.80844,3.10344,1.50339,0.00035032,0.00035032,0.00035032
6,27.0662,1.50158,2.63213,1.30568,0.31059,0.17549,0.16318,0.11315,1.86814,3.24273,1.5985,0.0003535,0.0003535,0.0003535
7,29.9443,1.50551,2.12589,1.29783,0.7381,0.23546,0.30032,0.19092,1.75944,2.9727,1.47724,0.00033292,0.00033292,0.00033292
8,32.6613,1.48734,1.9146,1.23934,0.9384,0.42345,0.51894,0.27647,1.78551,2.52348,1.48594,0.00028858,0.00028858,0.00028858
9,35.4061,1.40287,1.66838,1.22236,0.94532,0.48058,0.60146,0.33726,1.71892,2.2366,1.44301,0.00022048,0.00022048,0.00022048
10,38.4812,1.34069,1.61161,1.20474,0.90104,0.50609,0.65809,0.35569,1.70771,1.93571,1.41608,0.00012862,0.00012862,0.00012862
