epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4053,1.7121,4.8638,1.35993,0.00103,0.22222,0.00065,0.00026,1.83705,4.69621,1.21879,0.0001,0.0001,0.0001
2,15.0398,1.69501,3.07441,1.29981,0.81661,0.5,0.56571,0.31667,1.75711,2.37104,1.47197,0.00020911,0.00020911,0.00020911
3,20.1108,1.61767,1.68477,1.33136,0.37334,0.44444,0.33942,0.16055,1.78888,2.07483,1.46267,0.00030634,0.00030634,0.00030634
4,24.6728,1.34531,1.29731,1.16173,0.08146,0.25,0.0479,0.02405,1.80543,2.95619,1.47078,0.00039169,0.00039169,0.00039169
5,29.4238,1.46833,1.2345,1.17071,0.01752,0.52778,0.01495,0.00827,1.52366,15.1966,1.36966,0.00046516,0.00046516,0.00046516
6,33.8751,1.44351,1.13669,1.22487,0.15857,0.52778,0.12974,0.0679,1.63159,1.92369,1.42079,0.00052675,0.00052675,0.00052675
7,38.295,1.3627,1.1744,1.16899,0.54993,0.55556,0.55647,0.2911,1.58161,1.84485,1.41024,0.00057646,0.00057646,0.00057646
8,43.0891,1.45496,1.08363,1.17926,0.78181,0.63889,0.65804,0.33357,1.55256,1.22949,1.38598,0.00061429,0.00061429,0.00061429
9,47.8413,1.33745,0.95788,1.16448,0.58204,0.33333,0.30934,0.13977,1.91947,2.07143,1.67358,0.00064024,0.00064024,0.00064024
10,52.5494,1.35443,0.9069,1.16469,0.38468,0.44444,0.3068,0.11748,2.02942,1.88794,1.79793,0.00065431,0.00065431,0.00065431
11,58.8275,1.44183,0.93487,1.27163,0.79429,0.47222,0.53814,0.30021,1.71542,1.57794,1.53912,0.0006565,0.0006565,0.0006565
12,63.4596,1.3472,0.97303,1.1764,0.79306,0.53241,0.61446,0.30803,1.88571,1.30773,1.64733,0.00064681,0.00064681,0.00064681
13,68.2222,1.37992,0.97333,1.23226,0.80692,0.61111,0.67117,0.29327,1.80152,1.59522,1.52724,0.00062524,0.00062524,0.00062524
14,72.6208,1.28024,0.95184,1.15317,0.84754,0.63889,0.76689,0.36511,1.74113,1.11636,1.48353,0.00059179,0.00059179,0.00059179
15,77.6613,1.28159,0.85938,1.13254,0.9045,0.5,0.69806,0.33484,1.78028,1.38523,1.48954,0.00054646,0.00054646,0.00054646
16,82.665,1.30353,1.04969,1.2049,0.83402,0.72222,0.81276,0.40883,1.69544,1.07467,1.44564,0.00048925,0.00048925,0.00048925
17,87.2492,1.22107,0.78805,1.13053,0.79323,0.74605,0.81299,0.42941,1.61918,1.15278,1.39312,0.000416,0.000416,0.000416
18,92.028,1.30549,0.78122,1.14333,0.80779,0.70059,0.81761,0.4488,1.52349,1.06263,1.29575,0.000317,0.000317,0.000317
19,96.9372,1.20604,0.75449,1.06002,0.8859,0.69444,0.8286,0.45175,1.50568,0.98779,1.2804,0.000218,0.000218,0.000218
20,102.972,1.19126,0.72643,1.13601,0.83127,0.72222,0.83322,0.46701,1.50798,0.96499,1.25469,0.000119,0.000119,0.000119
